MODEL,DATASET,SAMPLE,LABELS,ISROAD,CLASS,PRECISION,RECALL,F1SCORE,KAPPA,TRAINTIME,PREDICTTIME,FSELECTOR,NFEATURES
SVM,3,100000,4,False,2,0.780487805,0.038095238,0.072644722,0.493680163,884.8164473,41.83500004,None,
SVM,3,100000,4,False,3,0.937261861,0.996338013,0.965897477,0.493680163,884.8164473,41.83500004,None,
SVM,3,100000,4,False,4,0.96961326,0.886363636,0.926121372,0.493680163,884.8164473,41.83500004,None,
XGB,3,3877325,1,False,1,0.86,0.73,0.79,0.838765,4680,85.35399961,importances,119
XGB,3,3877325,1,False,2,0.99,0.99,0.99,0.838765,4680,85.35399961,importances,119
XGB,3,3877325,1,False,3,0.98,0.96,0.97,0.838765,4680,85.35399961,importances,119
XGB,3,3877325,3,False,1,0.88,0.65,0.74,0.820438,10800,90,None,
XGB,3,3877325,3,False,2,0.76,0.59,0.67,0.820438,10800,90,None,
XGB,3,3877325,3,False,3,0.91,0.74,0.81,0.820438,10800,90,None,
XGB,3,3877325,3,False,4,0.98,1,0.99,0.820438,10800,90,None,
XGB,3,3877325,3,False,5,0.98,0.96,0.97,0.820438,10800,90,None,
XGB,3,3877325,3,False,1,0.8790404553771092,0.6453731343283582,0.7442981323693949,0.8206356796646617,2260.61660695076,142.94251823425293,None,143
XGB,3,3877325,3,False,2,0.7617569102612647,0.5975761896275174,0.669751647912644,0.8206356796646617,2260.61660695076,142.94251823425293,None,143
XGB,3,3877325,3,False,3,0.906759677736294,0.733566489150306,0.8110198163363943,0.8206356796646617,2260.61660695076,142.94251823425293,None,143
XGB,3,3877325,3,False,4,0.9845085659803137,0.9955921274373836,0.9900193267372428,0.8206356796646617,2260.61660695076,142.94251823425293,None,143
XGB,3,3877325,3,False,5,0.9778529275247,0.9564174070951423,0.967016393442623,0.8206356796646617,2260.61660695076,142.94251823425293,None,143
RF,3,3877325,3,False,1,0.6744064701278372,0.3858208955223881,0.4908383176682806,0.7256868612801524,13399.34722161293,33.425992250442505,None,143
